Name,Population,Held by,source,More information,sourceLink,update,Lat,Lon
Balakliia,"26,921",,,,,25 February 2022 15h56 UTC,49.4564,36.8389
Barvinkove,"8,110",,,,,25 February 2022 15h56 UTC,48.9067,37.0131
Bohodukhiv,"15,797",,,,,25 February 2022 15h56 UTC,50.1608,35.5164
Chernihiv,"285,234",Ukraine,1,See Battle of Chernihiv,https://web.archive.org/web/20220225161228/https://gazeta.ua/articles/np/_putin-cinichno-obduriv-okupanti-prodovzhuyut-zdavatisya-v-polon-zsu/1072481,25 February 2022 15h56 UTC,51.4939,31.2947
Chernobyl,500,Russia,12,See Battle of Chernobyl,https://web.archive.org/web/20220225161228/https://www.cnn.com/2022/02/24/europe/ukraine-chernobyl-russia-intl/index.html,25 February 2022 15h56 UTC,51.2705,30.2196
Derhachi,"17,433",Ukraine,10,,https://web.archive.org/web/20220225161228/https://www.rbc.ua/ukr/styler/situatsiya-harkove-pryamo-seychas-proishodit-1645692584.html,25 February 2022 15h56 UTC,50.1066,36.1211
Donetsk,"905,364",Donetsk People's Republic,9,See War in Donbas,https://web.archive.org/web/20220225161228/https://www.reuters.com/world/europe/hope-fear-uncertainty-donetsk-streets-after-putin-move-2022-02-22/,25 February 2022 15h56 UTC,48.0089,37.8042
Horodnia,"11,710",Russia,4,,https://web.archive.org/web/20220225161228/https://suspilne.media/210292-u-gorodni-ta-semenivci-fiksuut-rosijsku-vijskovu-tehniku/,25 February 2022 15h56 UTC,51.8833,31.5833
Izium,"45,884",,,,,25 February 2022 15h56 UTC,49.2238,37.2915
Kerch,"149,566",Russia,8,See Annexation of Crimea by the Russian Federation,https://web.archive.org/web/20220225161228/https://www.politico.eu/article/crimea-peninsula-relation-russia-ukraine/,25 February 2022 15h56 UTC,45.3573,36.4683
Kharkiv,"1,433,886",Ukraine,10,See Battle of Kharkiv (2022),https://web.archive.org/web/20220225161228/https://www.rbc.ua/ukr/styler/situatsiya-harkove-pryamo-seychas-proishodit-1645692584.html,25 February 2022 15h56 UTC,50,36.2292
Kyiv,"2,962,180",Contested,16,See Kyiv Offensive (2022),https://web.archive.org/web/20220225161228/https://www.nytimes.com/live/2022/02/24/world/russia-attacks-ukraine/russian-troops-enter-the-outskirts-of-kyiv,25 February 2022 15h56 UTC,50.45,30.5236
Konotop,"84,787",Ukraine,18,Encircled by Russian forces,https://web.archive.org/web/20220225161228/https://kyivindependent.com/uncategorized/russian-military-establish-road-checkpoints-on-kyiv-sumy-highway/,25 February 2022 15h56 UTC,51.2369,33.2027
Koriukivka,"12,409",Contested,6,,https://web.archive.org/web/20220225161228/https://suspilne.media/210832-icnanskij-vijskkomat-sogodni-zranku-pereihav-do-priluk/,25 February 2022 15h56 UTC,51.7833,32.25
Krasnohrad,"20,013",,,,,25 February 2022 15h56 UTC,49.373,35.4614
Krolevets,"22,437",Ukraine,22,Encircled by Russian forces,https://web.archive.org/web/20220225161228/https://kyivindependent.com/uncategorized/russian-military-establish-road-checkpoints-on-kyiv-sumy-highway/,25 February 2022 15h56 UTC,51.5489,33.386
Kupiansk,"27,169",,,,,25 February 2022 15h56 UTC,49.7064,37.6167
Lebedyn,"24,238",Ukraine,21,Encircled by Russian forces,https://web.archive.org/web/20220225161228/https://kyivindependent.com/uncategorized/russian-military-establish-road-checkpoints-on-kyiv-sumy-highway/,25 February 2022 15h56 UTC,50.5831,34.4823
Liubotyn,"20,376",,,,,25 February 2022 15h56 UTC,49.9489,35.9306
Lozova,"54,026",,,,,25 February 2022 15h56 UTC,48.8892,36.3161
Luhansk,"399,559",Luhansk People's Republic,13,See War in Donbas,https://web.archive.org/web/20220225161228/https://www.dw.com/en/donetsk-and-luhansk-in-ukraine-a-creeping-process-of-occupation/a-60878068,25 February 2022 15h56 UTC,48.5833,39.3333
Lviv,"717,486",Ukraine,14,Many diplomatic missions have temporarily relocated to Lviv from Kyiv.[15],https://web.archive.org/web/20220225161228/https://www.cnn.com/europe/live-news/ukraine-russia-news-02-24-22-intl/h_21803c6f2041c343a9acda71e0db7455,25 February 2022 15h56 UTC,49.8419,24.0315
Melitopol,"150,768",Russia,23,,https://web.archive.org/web/20220225161228/https://www.marca.com/en/lifestyle/world-news/2022/02/24/6216fca2ca4741a0458b4599.html,25 February 2022 15h56 UTC,46.8333,35.3667
Merefa,"21,421",,,,,25 February 2022 15h56 UTC,49.806,36.0503
Novhorod-Siverskyi,"12,647",Russia,7,,https://web.archive.org/web/20220225161228/https://suspilne.media/210832-icnanskij-vijskkomat-sogodni-zranku-pereihav-do-priluk/,25 February 2022 15h56 UTC,51.9833,33.2667
Pechenihy,"5,058",Contested,11,,https://web.archive.org/web/20220225161228/https://niezalezna.pl/430888-inwazja-rosji-na-ukraine,25 February 2022 15h56 UTC,49.8647,36.9364
Pervomaiskyi,"28,986",,,,,25 February 2022 15h56 UTC,49.3869,36.2142
Pivdenne,"7,394",,,,,25 February 2022 15h56 UTC,49.8849,36.0687
Romny,"38,305",Ukraine,20,Encircled by Russian forces,https://web.archive.org/web/20220225161228/https://kyivindependent.com/uncategorized/russian-military-establish-road-checkpoints-on-kyiv-sumy-highway/,25 February 2022 15h56 UTC,50.7428,33.4879
Semenivka,"7,952",Russia,5,,https://web.archive.org/web/20220225161228/https://suspilne.media/210292-u-gorodni-ta-semenivci-fiksuut-rosijsku-vijskovu-tehniku/,25 February 2022 15h56 UTC,52.1772,32.5797
Sevastopol,"509,992",Russia,8,See Annexation of Crimea by the Russian Federation,https://web.archive.org/web/20220225161228/https://www.politico.eu/article/crimea-peninsula-relation-russia-ukraine/,25 February 2022 15h56 UTC,44.6,33.5333
Shostka,"73,197",Ukraine,19,Encircled by Russian forces,https://web.archive.org/web/20220225161228/https://kyivindependent.com/uncategorized/russian-military-establish-road-checkpoints-on-kyiv-sumy-highway/,25 February 2022 15h56 UTC,51.8657,33.4766
Simferopol,"332,317",Russia,8,See Annexation of Crimea by the Russian Federation,https://web.archive.org/web/20220225161228/https://www.politico.eu/article/crimea-peninsula-relation-russia-ukraine/,25 February 2022 15h56 UTC,44.9484,34.1
Snovsk,"12,315",Contested,2,,https://web.archive.org/web/20220225161228/https://www.unian.ua/war/u-snovsku-ukrajinci-zahopili-i-spalili-rosiyskiy-tank-yakiy-zagluh-na-ob-jizniy-video-novini-donbasu-11716765.html,25 February 2022 15h56 UTC,51.8167,31.95
Sosnytsia,"6,708",Contested,3,,https://web.archive.org/web/20220225161228/https://suspilne.media/210739-drugij-den-zbrojnogo-napadu-cernigivsina-tekstova-translacia/,25 February 2022 15h56 UTC,51.5222,32.5017
Sumy,"259,660",Ukraine,17,See Battle of Sumy,https://web.archive.org/web/20220225161228/https://24tv.ua/vorog-vidstupiv-sumah-bilya-kadetskogo-korpusu-zakinchivsya-peremozhniy_n1877934,25 February 2022 15h56 UTC,50.9068,34.7992
Valky,"8,721",,,,,25 February 2022 15h56 UTC,49.8386,35.6217
Vovchansk,"17,747",,,,,25 February 2022 15h56 UTC,50.2881,36.9461
Yevpatoria,"105,719",Russia,8,See Annexation of Crimea by the Russian Federation,https://web.archive.org/web/20220225161228/https://www.politico.eu/article/crimea-peninsula-relation-russia-ukraine/,25 February 2022 15h56 UTC,45.1905,33.3669
Zmiiv,"14,071",,,,,25 February 2022 15h56 UTC,49.6878,36.3558
